,jmeno,prijimeni,telefonni_cislo,cislo_zamestnance,mesto,plat
4,Marcel,Hájek,+421 902 928 669,35,Praha,
12,Karolína,Short,721 589 083,53,Praha,
13,Michelle,Vlčková,+421 41 720 7806,54,Praha,
16,John,Bailey,775 021 116,58,Praha,
17,William,Shelton,+421 47 745 8219,60,Praha,
18,Miroslava,Veselá,774 029 254,62,Praha,
21,Nathan,Svoboda,728 710 923,66,Praha,
24,Robert,Říha,727 351 984,72,Praha,
33,Jindřich,Howell,+421 39 043 0948,10,Plzen,
34,Alexander,Martinez,721 195 689,13,Plzen,
48,Jennifer,Brown,775 545 190,86,Liberec,
50,Robert,Macias,+421 49 929 6856,88,Liberec,
55,Ivan,Bartoš,603 226 051,99,Liberec,
